지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
121,2018-01-01,-2.7,-9.6,758,3.3,1433,,,,,,,8.1,290,1541,4.5,340,1336,1.1,963,-13.1,17,1408,49,2.3,997,1029.3,2322,1025.3,34,1027.6,9.7,8.6,,,,,,,,,,,-2.6,-4.9,,,,,,,,,,,,,
121,2018-01-02,-2.4,-9.3,731,4.1,1321,,,,,,,7.6,270,1452,4.1,270,1557,1,874,-11,23,1521,56.5,2.7,997.7,1030.3,211,1025.5,1436,1028.3,9.7,7.8,,,,,,,,,,,-2.7,-5,,,,,,,,,,,,,
121,2018-01-03,-4.2,-9.5,817,1.1,1447,,,,,,,5.2,250,1406,2.6,230,1548,.8,648,-12.9,29,1529,53.4,2.3,999.2,1032.5,901,1027.7,1533,1030,9.7,8.4,,,,,,,,,,,-3.1,-6.4,,,,,,,,,,,,,
121,2018-01-04,-4.6,-11.1,740,.7,1548,,,,,,,2.5,230,1213,1.6,250,1215,.2,187,-11.6,32,1403,61,2.5,996.5,1031.6,349,1023.1,2341,1027.3,9.7,6.3,,,,,,,,,,,-3,-6.9,,,,,,,,,,,,,
121,2018-01-05,-2.8,-6.9,502,3.1,1432,,,,,,,6.8,230,1652,4.2,250,1641,.9,765,-9.6,30,1421,62.1,3,990.2,1023.7,21,1017.3,1457,1020.6,9.7,6.7,,,,,,,,,,,-2.1,-5.1,,,,,,,,,,,,,
121,2018-01-06,-4.7,-10.5,723,3,1518,,,,,,,3.4,250,1615,2,250,1532,.5,410,-10.6,31,1522,67.1,2.7,993.2,1026.6,2255,1021.1,1,1023.9,9.7,8.6,,,,,,,,,,,-3.1,-7.2,,,,,,,,,,,,,
121,2018-01-07,-3.2,-10.9,657,3,1454,,,,,,,3,180,1242,1.5,180,1243,.2,189,-9.4,38,1437,64.9,3,992.5,1027.3,722,1019.1,2314,1023,9.7,3.7,,,,,,,,,,,-3.1,-7.8,,,,,,,,,,,,,
121,2018-01-08,.8,-1,955,2.8,1521,,,,,,2,7.6,250,2252,4,270,2400,.7,607,-3.5,57,18,73.6,4.8,981,1019.2,11,1007,2242,1010.7,9.8,0,,,,,,,,,,,-.3,-.9,,,,,,,,,,,,,
121,2018-01-09,-2.8,-4.6,834,.8,1,,,,,,.3,11.8,290,1353,6,250,1157,3.1,2645,-10.2,45,1303,57.3,2.9,982,1014.6,2015,1006.9,2,1012.2,9.8,6.6,,,,,,,,,,,-.9,-2.6,,,,,,,,,,,,,
121,2018-01-10,-6.1,-9.5,2352,-2.9,1346,,,,,,.6,14.3,270,1253,7.3,270,1542,2.5,2174,-15.9,26,1542,49.8,1.9,986.5,1022.3,2357,1013.2,113,1017.2,9.8,7,,,,,,,,,,,-3.1,-7.2,,,,,,,,,,,,,
