지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
216,2018-01-01,-4.9,-8.5,730,-.9,1456,,,,,,,8.3,320,1327,3.5,340,1105,1.5,1276,-19,21,1458,32.9,1.4,937.6,1027.7,2156,1023.5,5,1025.8,9.7,6.9,,,,,,,,,,,-7,-14.9,,,,,,,,,,,,,
216,2018-01-02,-3.1,-5.8,2355,.6,1408,,,,,,,11.8,320,839,4,320,1118,1.8,1521,-15.3,29,2303,38.9,1.9,937.8,1027.8,214,1022.4,1413,1025.4,9.7,6.9,,,,,,,,,,,-5.9,-11.9,,,,,,,,,,,,,
216,2018-01-03,-6.9,-12.4,748,-.3,1245,,,,,,,7.3,320,1430,3,320,1307,1,861,-17.8,22,1248,44.1,1.5,939.4,1031.3,840,1025.1,1349,1028.5,9.7,6.9,,,,,,,,,,,-7.8,-16.5,,,,,,,,,,,,,
216,2018-01-04,-5.9,-12.9,620,.7,1326,,,,,,,5.2,70,1513,3.9,50,1541,.8,677,-13.9,21,1238,57.4,2.2,937.6,1030.9,356,1022.5,1358,1026.2,9.7,6.1,,,,,,,,,,,-6.5,-16.7,,,,,,,,,,,,,
216,2018-01-05,-4,-8.9,410,2.2,1415,,,,,,,7.1,290,2221,3,180,1223,1.1,953,-13.8,21,1407,50.9,2.2,931.2,1023.8,39,1014.3,1418,1018.5,9.7,6.1,,,,,,,,,,,-5.1,-13.3,,,,,,,,,,,,,
216,2018-01-06,-4.5,-9.2,2359,2.1,1209,,,,,,,9.1,270,40,3.6,270,26,1.3,1089,-16,23,1210,42.3,1.8,933.7,1026.2,2347,1017.4,4,1021.4,9.7,6.9,,,,,,,,,,,-6.4,-14.5,,,,,,,,,,,,,
216,2018-01-07,-3.1,-12.8,748,4.4,1218,,,,,,,7.4,200,1626,4.4,200,1512,1.3,1104,-14.9,15,1413,46.5,2,934.5,1028,730,1017.4,2343,1021.8,9.7,3.3,,,,,,,,,,,-5.4,-16.9,,,,,,,,,,,,,
216,2018-01-08,0,-3.7,2347,3.1,1500,,,,,,.2,13.2,200,2354,4.7,230,2153,1.7,1445,-4.3,55,1,72.6,4.5,923.4,1017.6,15,1003.9,2110,1008.6,9.8,1.3,,,,,,,,,,,-.5,-4.7,,,,,,,,,,,,,
216,2018-01-09,-7.1,-9.1,838,-3.4,1,,,,,,0,15.6,200,748,6.1,230,10,3,2554,-14,47,1210,57.8,2.1,921.6,1012.9,2333,1003.6,217,1009,9.8,6.7,,,,,,,,,,,-4.2,-10.4,,,,,,,,,,,,,
216,2018-01-10,-10.1,-14,2357,-7.2,8,,,,,,0,16.5,320,1113,5.2,250,1319,2.2,1897,-19.9,27,1500,46.9,1.4,926.4,1020.4,2329,1011.9,149,1015.3,9.8,6.8,,,,,,,,,,,-7.6,-17.5,,,,,,,,,,,,,
216,2018-01-11,-13.6,-16.4,702,-9,1441,,,,,,,9.8,250,1303,3.8,230,1309,1.7,1459,-23.2,29,1228,45.4,1,932.6,1026.9,2324,1020.2,6,1023.4,9.8,6.8,,,,,,,,,,,-10.8,-19.5,,,,,,,,,,,,,
216,2018-01-12,-12.3,-17.7,508,-6.8,1401,,,,,,,8.7,320,1512,3.5,340,1640,1.6,1416,-24.8,15,1355,38,.8,937.5,1030.1,850,1025.3,1400,1028.3,9.8,6.8,,,,,,,,,,,-11.1,-21,,,,,,,,,,,,,
216,2018-01-13,-7.7,-12.1,2347,-2.9,1433,,,,,,0,13.1,340,1115,6.2,340,1120,1.6,1366,-13.1,48,1,65.6,2.2,942,1036.3,2307,1029.3,1330,1031.6,9.9,6.7,,,,,,,,,,,-7.7,-16.9,,,,,,,,,,,,,
216,2018-01-14,-4.3,-14.6,749,4.3,1314,,,,,,,12.9,270,2358,5.1,200,1236,1.7,1426,-11.3,25,1316,62.8,2.7,940.8,1036.3,733,1022.6,2334,1029.1,9.9,6.8,,,,,,,,,,,-6.8,-19.2,,,,,,,,,,,,,
216,2018-01-15,1.8,-1.9,2046,6.4,1407,,,,,,0,16.2,320,456,5.2,270,537,2.1,1780,-5.7,30,1529,58.3,4,935.9,1024.5,2114,1019.2,1430,1021.6,9.9,4.5,,,,,,,,,,,-1.6,-5.9,,,,,,,,,,,,,
216,2018-01-16,2.4,-1.8,16,5.9,1403,,,,,,0,10,250,1001,4.5,230,624,1.7,1488,-4.2,38,959,64.3,4.6,932.1,1022.2,10,1014.4,1415,1017.2,9.9,1.4,,,,,,,,,,,-1.6,-7,,,,,,,,,,,,,
216,2018-01-17,1,0,109,3,1531,,,,,,6,8.6,230,2027,5,230,2034,.7,604,-.6,62,2256,89.5,5.9,931.4,1018.8,1958,1015.2,352,1016.9,9.9,0,,,,,,,,,,,-.7,-5.1,,,,,,,,,,,,,
216,2018-01-18,.5,-1.5,2348,3.4,1448,,,,,,,12.4,200,157,6.4,230,132,1.9,1666,-7.5,27,2240,56.1,3.5,934.6,1023.7,2315,1017.1,204,1020.6,10,1.7,,,,,,,,,,,-.8,-3.8,,,,,,,,,,,,,
216,2018-01-19,-1.1,-6.1,757,4.8,1444,,,,,,,5.7,230,1425,3.1,180,1214,.9,810,-13.8,17,1253,41.5,2.2,935.3,1026.2,754,1018.1,1442,1022,10,6.9,,,,,,,,,,,-2.5,-9,,,,,,,,,,,,,
216,2018-01-20,-1.8,-4.1,630,.7,1348,,,,,,,10.9,340,1435,3.9,320,1305,1.4,1229,-8.4,23,28,61.1,3.3,934.9,1023.7,1014,1019.7,1501,1021.7,10,1.5,,,,,,,,,,,-3.4,-7.7,,,,,,,,,,,,,
216,2018-01-21,-3.6,-9,738,3.1,1431,,,,,,,6.9,320,1219,3.2,320,1330,.8,650,-11.6,21,1430,60.4,2.6,935.6,1026.2,748,1019.6,1446,1023.1,10,7,,,,,,,,,,,-4.7,-12.8,,,,,,,,,,,,,
216,2018-01-22,-1.7,-5.6,10,1.9,1414,,,,,,1.5,9.2,270,1853,4.2,230,1843,1.8,1566,-5.1,54,1259,77.6,4.2,928.2,1022.2,1,1009.5,2139,1014.3,10.1,.8,,,,,,,,,,,-2.4,-6.6,,,,,,,,,,,,,
216,2018-01-23,-12.5,-16.5,2400,-2.1,1,,,,,,0,13.9,320,725,4.6,230,603,2.3,1986,-23,25,1152,42.8,1.1,928.3,1021.9,2254,1010.2,2,1018.4,10.1,7.1,,,,,,,,,,,-2.7,-17.5,,,,,,,,,,,,,
216,2018-01-24,-16.3,-20.1,605,-12.9,1438,,,,,,,16.1,320,1100,5.1,340,1340,2.3,1962,-29,24,1316,33,.6,932.5,1027,2304,1021.3,45,1024.3,10.1,7.1,,,,,,,,,,,-5.7,-21.1,,,,,,,,,,,,,
216,2018-01-25,-14.3,-20,659,-7.8,1210,,,,,,,8.5,20,1512,4.1,340,1437,1.4,1234,-26.4,17,1107,37,.7,933.8,1028.7,653,1021.8,1423,1025,10.2,7.1,,,,,,,,,,,-7,-23.3,,,,,,,,,,,,,
216,2018-01-26,-15.3,-19.3,800,-9.2,1403,,,,,,,9,320,1150,3.7,340,303,1.5,1276,-27.2,16,1256,37.9,.7,934.1,1030.7,2350,1022.1,1355,1025.7,10.2,7.1,,,,,,,,,,,-8,-22.2,,,,,,,,,,,,,
216,2018-01-27,-9.2,-20.1,501,1.4,1438,,,,,,,5.3,50,1523,3.5,70,1530,.9,737,-22.7,8,1333,40.4,1,936.2,1031.9,530,1020.9,1437,1025.9,10.2,7.1,,,,,,,,,,,-7.8,-22.5,,,,,,,,,,,,,
216,2018-01-28,-7,-11.6,2357,-2.6,1321,,,,,,,9.7,340,1052,4,320,950,2,1690,-19.4,13,249,38.8,1.4,930.1,1022,1,1014.1,1555,1018.3,10.2,6.1,,,,,,,,,,,-5.1,-14.4,,,,,,,,,,,,,
216,2018-01-29,-11.5,-14.1,509,-7.5,1434,,,,,,,13.3,320,1134,5.1,340,1202,2.2,1888,-24.1,23,1322,34.8,.9,930.5,1023.8,2149,1016.7,1431,1020.3,10.3,7.1,,,,,,,,,,,-7.5,-16.9,,,,,,,,,,,,,
216,2018-01-30,-9,-16.3,458,-4.3,1527,,,,,,0,9.7,320,1235,3.6,290,1242,1.6,1341,-17.6,31,1149,51.5,1.6,934.7,1025.4,442,1021.5,1357,1024,10.3,7.1,,,,,,,,,,,-7.9,-19.2,,,,,,,,,,,,,
