지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
99,2018-01-01,-5.6,-12.4,747,2.8,1522,,,,,,,5.6,290,1541,3.6,270,1554,.7,588,-12.5,24,1300,62.8,2.3,1024.2,1029.4,1103,1026.2,111,1028,9.6,8.6,,,,,,,,,,,-3.4,-14.2,,,,,,,,,,,,,
99,2018-01-02,-4.8,-11.2,755,1.3,1434,,,,,,,7.5,270,1354,3.8,290,1356,1.4,1189,-14.2,25,1315,56.5,2.1,1025.8,1031.1,2346,1028.1,1427,1030.1,9.6,8.4,,,,,,,,,,,-3.6,-12.8,,,,,,,,,,,,,
99,2018-01-03,-7.3,-12.9,809,-.9,1511,,,,,,,5.8,230,1436,3.2,320,1351,1.2,1032,-14.6,32,1507,58,2,1027.6,1033.3,1028,1030,1738,1031.5,9.6,8.6,,,,,,,,,,,-4.3,-14.8,,,,,,,,,,,,,
99,2018-01-04,-8,-14.2,752,-2.5,1514,,,,,,,4.7,50,1122,2.8,50,1102,.9,804,-14.2,36,1459,64,2.1,1024.2,1032.2,303,1024.1,2358,1028.1,9.6,7,,,,,,,,,,,-4.2,-15.5,,,,,,,,,,,,,
99,2018-01-05,-6.7,-10.6,757,-.1,1531,,,,,,,5.5,320,1421,3,230,1528,.8,675,-12.1,34,1519,68,2.4,1017.8,1024.1,3,1019.6,1433,1021.7,9.7,7.5,,,,,,,,,,,-3.9,-12.9,,,,,,,,,,,,,
99,2018-01-06,-7.4,-14.1,740,1.5,1437,,,,,,,4.4,230,1317,2.5,230,1306,.7,635,-12.6,34,1337,70.3,2.3,1020.4,1026.3,2218,1022.1,8,1024.2,9.7,8.7,,,,,,,,,,,-4.9,-16.2,,,,,,,,,,,,,
99,2018-01-07,-4.5,-11.9,722,1,1523,,,,,,,7.4,50,856,4.8,50,857,1,838,-11.2,39,1521,61.5,2.6,1018.2,1026.1,39,1018.7,2353,1022,9.7,2.9,,,,,,,,,,,-3.2,-14.6,,,,,,,,,,,,,
99,2018-01-08,-.1,-3.3,745,5.6,1237,,,,,,.3,9.8,270,2020,5.1,270,2134,1.8,1548,-7.5,31,1150,60.4,3.6,1007.7,1018.6,1,1007.6,1817,1011.4,9.7,2.9,,,,,,,,,,,-.2,-5.1,,,,,,,,,,,,,
99,2018-01-09,-5.7,-8.2,824,-2.8,11,,,,,,.1,8.8,270,228,4.9,320,250,2.4,2079,-11.6,48,1640,63.8,2.5,1010.3,1015.8,2151,1009.4,1,1014.1,9.7,7.7,,,,,,,,,,,-2.4,-10.3,,,,,,,,,,,,,
99,2018-01-10,-9.8,-13.7,729,-6.1,1359,,,,,,,10.2,340,1440,6.2,270,1331,2.3,1969,-15.6,32,1444,65.9,1.9,1015.6,1023.9,2257,1014.8,101,1019.5,9.7,9.2,,,,,,,,,,,-5.5,-16.2,,,,,,,,,,,,,
